"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.247187042E0,1.646575928E0,-3.264860687E0,8.543334045E0
3.257213042E0,1.754950562E0,-3.324436798E0,8.796457672E0
3.267238042E0,1.968107300E0,-3.093018036E0,8.747659149E0
3.277264042E0,2.083966370E0,-2.759062500E0,8.786877594E0
3.287290042E0,2.142494659E0,-2.591111755E0,9.037306824E0
3.297315042E0,2.533930664E0,-2.744393005E0,9.089697876E0
3.307341042E0,2.772983551E0,-2.896327057E0,9.046886902E0
3.317367042E0,2.707419891E0,-2.974015503E0,9.007069702E0
3.327393042E0,2.609972534E0,-3.154839478E0,8.890911255E0
3.337418042E0,2.520907745E0,-3.478316803E0,8.837771759E0
3.347444042E0,2.673440552E0,-3.304378510E0,8.869954834E0
3.357470042E0,2.585423584E0,-2.889890442E0,8.801098022E0
3.367495042E0,2.761008453E0,-2.554737396E0,8.948840790E0
3.377521042E0,3.226390686E0,-1.715133362E0,9.154363403E0
3.387547042E0,3.400478668E0,-8.934919739E-1,8.759334869E0
3.397573042E0,3.302432556E0,-6.641688538E-1,8.591683502E0
3.407598042E0,3.390599213E0,-1.594184875E-1,8.586743774E0
3.417624042E0,3.354224854E0,-1.012644196E0,8.867859192E0
3.427650042E0,2.953358459E0,-2.654130707E0,9.885443115E0
3.437675042E0,2.908152466E0,-3.548820190E0,9.776469727E0
3.447701042E0,2.773731995E0,-4.905748444E0,9.167685699E0
3.457727042E0,2.811303864E0,-5.880371704E0,8.577762451E0
3.467753042E0,2.853665771E0,-5.949378204E0,8.568182373E0
3.477778042E0,2.658321991E0,-6.035598907E0,8.707841949E0
3.487804042E0,2.904559937E0,-5.261708221E0,8.873547363E0
3.497830208E0,3.169508972E0,-4.576882324E0,8.558003540E0
3.507855208E0,3.263513489E0,-4.413571930E0,8.469238129E0
3.517881208E0,3.402873688E0,-4.454436951E0,8.462502136E0
3.527907208E0,3.455115051E0,-4.164190521E0,8.458460541E0
3.537933208E0,3.696562958E0,-3.599265289E0,8.606502686E0
3.547958208E0,3.705843658E0,-3.039429474E0,8.667875061E0
3.557984208E0,3.697311401E0,-2.932402039E0,8.597970428E0
3.568010208E0,3.870052185E0,-2.631827087E0,8.608598328E0
3.578035208E0,3.901337128E0,-2.080373840E0,8.589288483E0
3.588061208E0,3.849395142E0,-1.743125153E0,8.852441254E0
3.598087208E0,3.942501526E0,-1.778302002E0,8.920100555E0
3.608113208E0,3.955075378E0,-1.889670410E0,8.785979462E0
3.618138208E0,3.921694794E0,-2.070494385E0,8.931626587E0
3.628164208E0,3.899540863E0,-2.395169220E0,9.017547913E0
3.638190208E0,3.855682068E0,-2.448608093E0,8.887767792E0
3.648215208E0,4.006867676E0,-2.365381165E0,9.023984528E0
3.658241208E0,4.127516785E0,-2.251917114E0,9.021290131E0
3.668267208E0,4.324956207E0,-2.186203766E0,8.952583008E0
3.678292208E0,4.542154541E0,-1.978735199E0,9.005872192E0
3.688318208E0,4.651127930E0,-1.654210052E0,9.172176361E0
3.698344208E0,4.841981049E0,-1.324445801E0,9.297166443E0
3.708370208E0,4.437222748E0,-1.148711243E0,9.062454529E0
3.718395208E0,3.703598328E0,-1.386716309E0,8.834328918E0
3.728421208E0,4.094285889E0,-9.289682007E-1,9.164991302E0
3.738447208E0,4.599335632E0,-1.636097717E-1,8.560099182E0
3.748472208E0,4.363875275E0,-6.761439514E-1,7.956703949E0
3.758498208E0,4.678520966E0,2.779719543E-1,8.026309204E0
3.768524208E0,4.970264282E0,1.363514557E0,6.395749969E0
3.778550208E0,4.885839844E0,1.015787659E0,6.199058990E0
3.788575208E0,4.516108704E0,2.778222656E-1,7.476203156E0
3.798601208E0,4.394711151E0,-5.736071777E-1,9.238787842E0
3.808627208E0,4.479884033E0,-1.905687103E0,1.012763947E1
3.818652208E0,4.898413696E0,-1.929637299E0,9.567953339E0
3.828678208E0,5.088817749E0,-2.006128235E0,8.975335693E0
3.838704208E0,5.104834442E0,-1.839075623E0,8.384664001E0
3.848730208E0,5.022206268E0,-2.089953918E0,8.388555908E0
3.858755208E0,5.036127319E0,-2.059866486E0,7.924520874E0
3.868781208E0,5.023553467E0,-2.073637848E0,7.513325958E0
3.878807208E0,4.838538208E0,-2.538870392E0,7.955356750E0
3.888833208E0,4.744384003E0,-2.886597290E0,7.945477295E0
3.898858208E0,4.882546692E0,-2.969075775E0,8.035290527E0
3.908884208E0,5.231022034E0,-2.807112579E0,8.001311188E0
3.918910208E0,5.630241852E0,-2.761457520E0,7.855963440E0
3.928935208E0,5.956712952E0,-2.861000519E0,8.099506989E0
3.938961208E0,6.068380737E0,-2.765199738E0,8.502768402E0
3.948987208E0,5.978268127E0,-2.458936615E0,8.371790771E0
3.959012208E0,5.692212982E0,-2.160906372E0,8.129145355E0
3.969038208E0,5.281616821E0,-1.908680878E0,7.945776672E0
3.979064208E0,5.045258331E0,-1.646875305E0,7.990084534E0
3.989090208E0,5.021308136E0,-1.365011444E0,8.130941620E0
3.999115208E0,5.124144287E0,-1.369202728E0,8.253836060E0
4.009141208E0,5.266797638E0,-1.240620117E0,8.259973297E0
4.019167208E0,5.434598694E0,-9.827064514E-1,8.239615631E0
4.029193208E0,5.485343170E0,-7.420069885E-1,8.270301819E0
4.039218208E0,5.443580017E0,-4.400848389E-1,8.277187500E0
4.049244208E0,5.324427795E0,-1.399589539E-1,8.254734192E0
4.059270208E0,5.240153046E0,-6.032455444E-2,8.202792206E0
