"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.641321375E0,-1.895149946E-1,7.515692711E-1,-1.089867473E0
2.651348375E0,-4.357820451E-1,7.590104342E-1,-1.230697513E0
2.661374375E0,-6.494946480E-1,6.841707230E-1,-1.326293468E0
2.671400375E0,-7.797842026E-1,5.085099339E-1,-1.376025319E0
2.681427375E0,-8.238628507E-1,2.695707679E-1,-1.369289756E0
2.691453375E0,-8.060913086E-1,4.862295464E-2,-1.322471142E0
2.701479375E0,-5.750137568E-1,-2.775800414E-2,-1.229750633E0
2.711505375E0,-1.784017086E-1,-8.249288797E-2,-1.016469002E0
2.721532375E0,1.757394820E-1,-3.953346238E-2,-7.872793674E-1
2.731558375E0,4.274263084E-1,-1.574081779E-1,-6.805286407E-1
2.741584375E0,5.736773014E-1,-4.194445312E-1,-8.461028337E-1
2.751611375E0,5.884965062E-1,-6.590563655E-1,-1.072915196E0
2.761637375E0,3.294999599E-1,-7.730306983E-1,-1.227993250E0
2.771663375E0,-4.228720814E-2,-5.383718014E-1,-1.217667937E0
2.781690375E0,-3.548363745E-1,-3.766986728E-1,-1.197132826E0
2.791716375E0,-5.617389679E-1,-2.123198658E-1,-1.316407561E0
2.801742375E0,-6.683903933E-1,2.736229822E-2,-1.452358842E0
2.811768375E0,-6.901159286E-1,2.614009082E-1,-1.550873160E0
2.821795375E0,-6.517645717E-1,4.393211305E-1,-1.557406425E0
2.831821375E0,-5.654166341E-1,6.023694277E-1,-1.433070660E0
2.841847375E0,-4.094896019E-1,7.097710967E-1,-1.211486697E0
2.851874375E0,-2.339164317E-1,6.557299495E-1,-9.834372997E-1
2.861900375E0,-1.380081624E-1,5.185546279E-1,-7.981565595E-1
2.871926375E0,-1.974192858E-1,3.708517551E-1,-7.214479446E-1
2.881952375E0,-3.832400441E-1,3.057231605E-1,-8.007689118E-1
2.891979375E0,-6.243439913E-1,1.688758582E-1,-9.909968972E-1
2.902005375E0,-8.594105244E-1,-4.907115176E-2,-1.183071733E0
2.912031375E0,-1.072324872E0,-1.764265448E-2,-1.252794862E0
2.922058375E0,-1.069151402E0,4.284875095E-2,-1.173788667E0
2.932084375E0,-8.138656020E-1,4.795189947E-2,-1.012052417E0
2.942110375E0,-4.721693993E-1,-7.397993654E-2,-8.036578894E-1
2.952137375E0,-1.603094935E-1,-2.055193186E-1,-6.407496929E-1
2.962163375E0,-4.466041550E-2,-5.202329159E-1,-3.534349501E-1
2.972189375E0,-3.231400251E-2,-5.381328464E-1,7.773164660E-2
2.982215375E0,-2.861391008E-2,-5.216893554E-1,4.581199288E-1
2.992242375E0,1.288293302E-2,-7.685796022E-1,7.120850682E-1
3.002268375E0,1.241955012E-1,-1.111595511E0,8.717908263E-1
3.012294375E0,1.954744756E-1,-1.350933313E0,9.890874028E-1
3.022321375E0,-5.016687512E-2,-1.236734152E0,1.311003447E0
3.032347375E0,-5.546603799E-1,-1.084760070E0,1.759960890E0
3.042373375E0,-1.041135192E0,-1.169084311E0,2.115971327E0
3.052400375E0,-1.338145256E0,-1.439986467E0,2.206316948E0
3.062426375E0,-1.594703674E0,-1.840566874E0,2.278248310E0
3.072452375E0,-1.659811854E0,-1.997191668E0,2.381065369E0
3.082478375E0,-1.623068929E0,-2.081181049E0,2.490957022E0
3.092505375E0,-1.511656880E0,-2.266381025E0,2.704990149E0
3.102531375E0,-1.296464562E0,-2.599061489E0,2.960296154E0
3.112557375E0,-9.884947538E-1,-2.873048067E0,3.125039101E0
3.122584375E0,-7.353056669E-1,-2.819565058E0,3.189129114E0
3.132610375E0,-6.254217625E-1,-2.458557367E0,3.157882214E0
3.142636375E0,-6.542948484E-1,-1.866634369E0,3.046278000E0
3.152663375E0,-7.290135622E-1,-1.296871066E0,2.852923870E0
3.162689375E0,-8.153128624E-1,-1.020979762E0,2.605094433E0
3.172715375E0,-9.385961890E-1,-1.115123272E0,2.345652580E0
3.182741375E0,-1.113705158E0,-1.461884618E0,2.093502522E0
3.192768375E0,-1.302808762E0,-1.659342289E0,1.875711679E0
